Stock Number,Stock Name
100180,HDFC Bank Ltd.
100325,Reliance Industries Ltd.
132174,ICICI Bank Ltd.
100209,Infosys Ltd.
100875,ITC Ltd.
100510,Larsen & Toubro Ltd.
132540,Tata Consultancy Services Ltd.
132215,Axis Bank Ltd.
100247,Kotak Mahindra Bank Ltd.
132454,Bharti Airtel Ltd.
100696,Hindustan Unilever Ltd.
100112,State Bank of India
100034,Bajaj Finance Ltd.
100520,Mahindra & Mahindra Ltd.
100114,Titan Company Ltd.
132281,HCL Technologies Ltd.
132500,Maruti Suzuki India Ltd.
100820,Asian Paints Ltd.
124715,Sun Pharmaceutical Industries Ltd.
100570,Tata Motors Ltd.
132555,NTPC Ltd.
132538,Ultratech Cement Ltd.
100470,Tata Steel Ltd.
132187,IndusInd Bank Ltd.
132898,Power Grid Corporation of India Ltd.
205198,Bajaj Finserv Ltd.
100790,Nestle India Ltd.
219300,Coal India Ltd.
112599,Adani Enterprises Ltd.
132755,Tech Mahindra Ltd.
100312,Oil & Natural Gas Corporation Ltd.
100440,Hindalco Industries Ltd.
100228,JSW Steel Ltd.
217389,HDFC Life Insurance Company Ltd.
100300,Grasim Industries Ltd.
100124,Dr. Reddy's Laboratories Ltd.
200132,Bajaj Auto Ltd.
132921,Adani Ports and Special Economic Zone Ltd.
211385,SBI Life Insurance Co. Ltd.
100087,Cipla Ltd.
107685,Wipro Ltd.
100825,Britannia Industries Ltd.
100800,Tata Consumer Products Ltd.
108869,Apollo Hospitals Enterprise Ltd.
105200,Eicher Motors Ltd.
216156,LTIMindtree Ltd.
100182,Hero MotoCorp Ltd.
132488,Divi's Laboratories Ltd.
100547,Bharat Petroleum Corporation Ltd.
112070,UPL Ltd.
229365,Jio Financial Services Ltd.
100180,HDFC Bank Ltd.£
132555,NTPC Limited
100209,Infosys Limited
100510,Larsen and Toubro Ltd.
132810,Power Finance Corporation Ltd.
200055,REC Limited.
132155,GAIL (India) Ltd.
100257,Lupin Ltd.
132134,Bank of Baroda
200115,Titagarh Wagons Limited
100104,Hindustan Petroleum Corp. Ltd.
219494,Hindustan Aeronautics Limited
132259,Apar Industries Limited
208745,Mishra Dhatu Nigam Ltd.
208196,Garden Reach Shipbuilders & Engineers Limited
100877,Apollo Tyres Ltd.
212705,Bharat Dynamics Limited
216369,NHPC Ltd.
211385,SBI Life Insurance Company Ltd.
208264,Gujarat Pipavav Port Ltd.
217280,Indian Railways Finance Corp. Ltd.
220869,Techno Electric & Engin. Co. Ltd.
132187,Indusind Bank Ltd.
124494,Ipca Laboratories Ltd.
100048,BEML Limited
124804,Aurobindo Pharma Ltd.
132500,Maruti Suzuki India Limited
105537,Zee Entertainment Enterprises Ltd.
200043,J.Kumar Infraprojects Ltd.
100493,Bharat Forge Ltd.
100084,CESC Ltd.
207778,Ashoka Buildcon Ltd.
100252,LAKSHMI MACHINE WORKS LTD.
132856,Time Technoplast Limited
100620,Great Eastern Shipping Company Ltd.
106590,PCBL Ltd.
213327,Housing and Urban Development Corporation Ltd.
124667,Savita Oil Technologies Ltd.
132921,Adani Ports & Special Economic Zone
105242,Dynamatic Technologies Ltd.
222822,Texmaco Rail & Engineering Ltd.
217376,Life Insurance Corporation of India
100477,Ashok Leyland  Ltd
100820,Asian Paints Limited
122287,Kalpataru Projects International Ltd
225051,SBI CARDS AND PAYMENT SERVICES LIMITED
255331,TEGA INDUSTRIES LIMITED
132331,Ajanta Pharma Limited
229365,Jio Financial Services Limited
117300,Gujarat Industries Power Co. Ltd.
100247,Kotak Mahindra Bank Limited
209979,ADITYA BIRLA SUN LIFE AMC LIMITED
100400,The Tata Power Company Ltd.
304102,Bharti Airtel Ltd. - PARTLY PAID UP SHARES
222055,InterGlobe Aviation Ltd.
232353,RHI MAGNESITA INDIA Limited
112599,ADANI ENTERPRISES LIMTIED
222276,AGS Transact Technologies Limited
100425,Ambuja Cements Ltd.
